id,service_id,day_of_week,start_time,end_time,slot_interval_minutes,created_at
180f4af0-20a3-43ba-9eb1-75e71f54cc20,,6,09:00:00,19:00:00,30,2026-05-02 20:40:12.555286+00
069db3e5-d99d-4e7c-97a8-922ae3b83208,,1,09:00:00,14:00:00,30,2026-05-04 00:02:48.694383+00
272e409e-5dcc-4558-9d25-9c13bc4e4777,,1,15:30:00,19:00:00,30,2026-05-04 00:02:48.694383+00
613ee5b5-b73b-4df6-9055-a38db660a355,,2,09:00:00,14:00:00,30,2026-05-04 00:02:48.694383+00
2ded9099-89e0-4f09-a76a-5eb6b6d36a81,,2,15:30:00,19:00:00,30,2026-05-04 00:02:48.694383+00
4ddf5e65-1105-4a57-8064-2685618c951a,,3,09:00:00,14:00:00,30,2026-05-04 00:02:48.694383+00
225b1b91-e6a8-4054-82e8-d6b2a45bf9c0,,3,15:30:00,19:00:00,30,2026-05-04 00:02:48.694383+00
e9a47e86-1577-445c-aaf9-0346dce22bda,,4,09:00:00,14:00:00,30,2026-05-04 00:02:48.694383+00
ed28faf9-5c0e-4f36-a0e5-704e74b093fb,,4,15:30:00,19:00:00,30,2026-05-04 00:02:48.694383+00
35ca2049-dc29-4350-b8a7-8640b91eecc4,,5,09:00:00,14:00:00,30,2026-05-04 00:02:48.694383+00
e15c7ecb-332a-4696-b882-5b371b3c2ebd,,5,15:30:00,19:00:00,30,2026-05-04 00:02:48.694383+00
